"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"2.0","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000334122","false","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000334122","0.085","0.119","0.4",,,,,"0.607","0.284"
"7.3000000000000025","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000242261","false","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000242261","0.067",,,,,,,"0.421","0.406"
"35.74761904761905","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000323588","false","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000323588","0.083",,,,,,,"0.865","0.86"
"2.0","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000215530","false","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000215530","0.062","0.111","0.4",,,,,"0.511","0.139"
"38.95238095238094","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000168712 (pp) 9606.ENSP00000410294",,,"0.9","0.484",,,,"0.999","0.995"
"16.628195488721786","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000417235","false","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000417235",,,"0.54","0.195",,,,"0.761","0.408"
"8.887395937395937","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000363193","false","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000363193","0.109",,"0.8","0.994",,,,"0.999","0.693"
"2.7","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000297347","false","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000297347","0.162",,"0.8","0.983",,,,"0.999","0.969"
"2.0","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000481733","0.049",,"0.8","0.985",,,,"0.999","0.994"
"5.4099567099567105","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000370938","false","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000370938","0.048",,"0.8","0.875",,,,"0.987","0.533"
"26.5404761904762","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000355094","false","pp","9606.ENSP00000292035 (pp) 9606.ENSP00000355094","0.083",,,"0.994",,,,"0.994","0.049"
"2.0","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000318861","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000318861","0.082",,,"0.896",,,,"0.931","0.333"
"2.0","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000216252","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000216252","0.063",,,"0.899",,,,"0.919","0.223"
"21.252380952380953","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000215829","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000215829","0.062",,"0.9","0.967",,,,"0.997","0.237"
"2.0","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000412566","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000412566","0.132",,"0.9","0.899",,,,"0.991","0.148"
"2.0","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000221494","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000221494","0.055",,,"0.914",,,,"0.951","0.447"
"8.766666666666667","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000215793","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000215793","0.063",,,"0.913",,,,"0.946","0.397"
"45.98095238095239","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000199814 (pp) 9606.ENSP00000392094","0.096",,"0.9","0.994",,,,"0.999","0.772"
"215.4314685314685","pp","9606.ENSP00000216122 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000216122 (pp) 9606.ENSP00000392094","0.356",,,"0.112",,,,"0.404",
"97.24401475717266","pp","9606.ENSP00000216122 (pp) 9606.ENSP00000224950","false","pp","9606.ENSP00000216122 (pp) 9606.ENSP00000224950","0.294",,,"0.064",,,,"0.478","0.274"
